index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload,
153,45.935,0.765583333,1758022690,5,0.52,2.6,0,0,0,,1,0
154,46.235,0.770583333,1758022690,5,0.52,2.6,0,0,0,,1,0
155,46.536,0.7756,1758022690,5,0.52,2.6,0,0,0,,1,0
156,46.839,0.78065,1758022691,5,0.52,2.6,0,0,0,,1,0
157,47.138,0.785633333,1758022691,5,0.52,2.6,0,0,0,,1,0
158,47.436,0.7906,1758022691,5,0.52,2.6,0,0,0,,1,0
159,47.739,0.79565,1758022692,5,0.52,2.6,0,0,0,,1,0
160,48.036,0.8006,1758022692,5,0.52,2.6,0,0,0,,1,0
161,48.335,0.805583333,1758022692,5,0.58,2.9,0,0,0,,1,0
162,48.636,0.8106,1758022692,5,0.52,2.6,0,0,0,,1,0
163,48.935,0.815583333,1758022693,5,0.52,2.6,0,0,0,,1,0
164,49.236,0.8206,1758022693,5,0.52,2.6,0,0,0,,1,0
165,49.537,0.825616667,1758022693,5,0.52,2.6,0,0,0,,1,0
166,49.836,0.8306,1758022694,5,0.52,2.6,0,0,0,,1,0
167,50.137,0.835616667,1758022694,5,0.52,2.6,0,0,0,,1,0
168,50.436,0.8406,1758022694,5,0.54,2.7,0,0,0,,1,0
169,50.736,0.8456,1758022695,5,0.52,2.6,0,0,0,,1,0
170,51.039,0.85065,1758022695,5,0.52,2.6,0,0,0,,1,0
171,51.338,0.855633333,1758022695,5,0.52,2.6,0,0,0,,1,0
172,51.639,0.86065,1758022695,5,0.52,2.6,0,0,0,,1,0
173,51.934,0.865566667,1758022696,5,0.52,2.6,0,0,0,,1,0
174,52.238,0.870633333,1758022696,5,0.52,2.6,0,0,0,,1,0
175,52.535,0.875583333,1758022696,5,0.52,2.6,0,0,0,,1,0
176,52.835,0.880583333,1758022697,5,0.52,2.6,0,0,0,,1,0
177,53.139,0.88565,1758022697,5,0.52,2.6,0,0,0,,1,0
178,53.437,0.890616667,1758022697,5,0.52,2.6,0,0,0,,1,0
179,53.739,0.89565,1758022698,5,0.52,2.6,0,0,0,,1,0
180,54.039,0.90065,1758022698,5,0.52,2.6,0,0,0,,1,0
181,54.339,0.90565,1758022698,5,0.52,2.6,0,0,0,,1,0
182,54.634,0.910566667,1758022698,5,0.52,2.6,0,0,0,,1,0
183,54.934,0.915566667,1758022699,5,0.52,2.6,0,0,0,,1,0
184,55.236,0.9206,1758022699,5,0.52,2.6,0,0,0,,1,0
185,55.539,0.92565,1758022699,5,0.52,2.6,0,0,0,,1,0
186,55.839,0.93065,1758022700,5,0.52,2.6,0,0,0,,1,0
187,56.137,0.935616667,1758022700,5,0.52,2.6,0,0,0,,1,0
188,56.437,0.940616667,1758022700,5,0.52,2.6,0,0,0,,1,0
189,56.739,0.94565,1758022701,5,0.52,2.6,0,0,0,,1,0
190,57.039,0.95065,1758022701,5,0.52,2.6,0,0,0,,1,0
191,57.339,0.95565,1758022701,5,0.52,2.6,0,0,0,,1,0
192,57.638,0.960633333,1758022701,5,0.52,2.6,0,0,0,,1,0
193,57.937,0.965616667,1758022702,5,0.52,2.6,0,0,0,,1,0
194,58.235,0.970583333,1758022702,5,0.52,2.6,0,0,0,,1,0
195,58.538,0.975633333,1758022702,5,0.52,2.6,0,0,0,,1,0
196,58.834,0.980566667,1758022703,5,0.52,2.6,0,0,0,,1,0
197,59.139,0.98565,1758022703,5,0.52,2.6,0,0,0,,1,0
198,59.439,0.99065,1758022703,5,0.52,2.6,0,0,0,,1,0
199,59.739,0.99565,1758022704,5,0.52,2.6,0,0,0,,1,0
200,60.037,1.000616667,1758022704,5,0.52,2.6,0,0,0,,1,0
201,60.339,1.00565,1758022704,5,0.52,2.6,0,0,0,,1,0
202,60.639,1.01065,1758022704,5,0.52,2.6,0,0,0,,1,0
203,60.939,1.01565,1758022705,5,0.52,2.6,0,0,0,,1,0
204,61.239,1.02065,1758022705,5,0.52,2.6,0,0,0,,1,0
205,61.537,1.025616667,1758022705,5,0.52,2.6,0,0,0,,1,0
206,61.838,1.030633333,1758022706,5,0.52,2.6,0,0,0,,1,0
207,62.137,1.035616667,1758022706,5,0.52,2.6,0,0,0,,1,0
208,62.439,1.04065,1758022706,5,0.55,2.75,0,0,0,,1,0
209,62.738,1.045633333,1758022707,5,0.55,2.75,0,0,0,,1,0
210,63.036,1.0506,1758022707,5,0.52,2.6,0,0,0,,1,0
211,63.337,1.055616667,1758022707,5,0.52,2.6,0,0,0,,1,0
212,63.639,1.06065,1758022707,5,0.52,2.6,0,0,0,,1,0
213,63.936,1.0656,1758022708,5,0.52,2.6,0,0,0,,1,0
214,64.239,1.07065,1758022708,5,0.52,2.6,0,0,0,,1,0
215,64.538,1.075633333,1758022708,5,0.52,2.6,0,0,0,,1,0
216,64.837,1.080616667,1758022709,5,0.52,2.6,0,0,0,,1,0
217,65.139,1.08565,1758022709,5,0.52,2.6,0,0,0,,1,0
218,65.438,1.090633333,1758022709,5,0.52,2.6,0,0,0,,1,0
219,65.738,1.095633333,1758022710,5,0.52,2.6,0,0,0,,1,0
220,66.035,1.100583333,1758022710,5,0.52,2.6,0,0,0,,1,0
221,66.335,1.105583333,1758022710,5,0.52,2.6,0,0,0,,1,0
222,66.636,1.1106,1758022710,5,0.52,2.6,0,0,0,,1,0
223,66.939,1.11565,1758022711,5,0.52,2.6,0,0,0,,1,0
224,67.236,1.1206,1758022711,5,0.52,2.6,0,0,0,,1,0
225,67.538,1.125633333,1758022711,5,0.52,2.6,0,0,0,,1,0
226,67.839,1.13065,1758022712,5,0.52,2.6,0,0,0,,1,0
227,68.139,1.13565,1758022712,5,0.52,2.6,0,0,0,,1,0
228,68.438,1.140633333,1758022712,5,0.52,2.6,0,0,0,,1,0
229,68.736,1.1456,1758022713,5,0.52,2.6,0,0,0,,1,0
230,69.039,1.15065,1758022713,5,0.52,2.6,0,0,0,,1,0
231,69.335,1.155583333,1758022713,5,0.52,2.6,0,0,0,,1,0
232,69.639,1.16065,1758022713,5,0.52,2.6,0,0,0,,1,0
233,69.936,1.1656,1758022714,5,0.52,2.6,0,0,0,,1,0
234,70.237,1.170616667,1758022714,5,0.52,2.6,0,0,0,,1,0
235,70.535,1.175583333,1758022714,5,0.52,2.6,0,0,0,,1,0
236,70.836,1.1806,1758022715,5,0.52,2.6,0,0,0,,1,0
237,71.135,1.185583333,1758022715,5,0.52,2.6,0,0,0,,1,0
238,71.436,1.1906,1758022715,5,0.52,2.6,0,0,0,,1,0
239,71.735,1.195583333,1758022716,5,0.52,2.6,0,0,0,,1,0
240,72.038,1.200633333,1758022716,5,0.52,2.6,0,0,0,,1,0
241,72.339,1.20565,1758022716,5,0.52,2.6,0,0,0,,1,0
242,72.636,1.2106,1758022716,5,0.52,2.6,0,0,0,,1,0
243,72.935,1.215583333,1758022717,5,0.52,2.6,0,0,0,,1,0
244,73.237,1.220616667,1758022717,5,0.52,2.6,0,0,0,,1,0
245,73.539,1.22565,1758022717,5,0.52,2.6,0,0,0,,1,0
246,73.838,1.230633333,1758022718,5,0.52,2.6,0,0,0,,1,0
247,74.137,1.235616667,1758022718,5,0.56,2.8,0,0,0,,1,0
248,74.439,1.24065,1758022718,5,0.52,2.6,0,0,0,,1,0
249,74.736,1.2456,1758022719,5,0.52,2.6,0,0,0,,1,0
250,75.036,1.2506,1758022719,5,0.52,2.6,0,0,0,,1,0
251,75.335,1.255583333,1758022719,5,0.52,2.6,0,0,0,,1,0
252,75.638,1.260633333,1758022719,5,0.52,2.6,0,0,0,,1,0
253,75.939,1.26565,1758022720,5,0.52,2.6,0,0,0,,1,0
254,76.235,1.270583333,1758022720,5,0.52,2.6,0,0,0,,1,0
255,76.538,1.275633333,1758022720,5,0.52,2.6,0,0,0,,1,0
256,76.838,1.280633333,1758022721,5,0.52,2.6,0,0,0,,1,0
257,77.137,1.285616667,1758022721,5,0.52,2.6,0,0,0,,1,0
258,77.437,1.290616667,1758022721,5,0.52,2.6,0,0,0,,1,0
259,77.738,1.295633333,1758022722,5,0.52,2.6,0,0,0,,1,0
260,78.035,1.300583333,1758022722,5,0.52,2.6,0,0,0,,1,0
261,78.339,1.30565,1758022722,5,0.52,2.6,0,0,0,,1,0
262,78.638,1.310633333,1758022722,5,0.52,2.6,0,0,0,,1,0
263,78.935,1.315583333,1758022723,5,0.52,2.6,0,0,0,,1,0
264,79.235,1.320583333,1758022723,5,0.52,2.6,0,0,0,,1,0
265,79.539,1.32565,1758022723,5,0.52,2.6,0,0,0,,1,0
266,79.839,1.33065,1758022724,5,0.52,2.6,0,0,0,,1,0
267,80.139,1.33565,1758022724,5,0.52,2.6,0,0,0,,1,0
268,80.439,1.34065,1758022724,5,0.52,2.6,0,0,0,,1,0
269,80.739,1.34565,1758022725,5,0.52,2.6,0,0,0,,1,0
270,81.038,1.350633333,1758022725,5,0.52,2.6,0,0,0,,1,0
271,81.339,1.35565,1758022725,5,0.52,2.6,0,0,0,,1,0
272,81.639,1.36065,1758022725,5,0.52,2.6,0,0,0,,1,0
273,81.935,1.365583333,1758022726,5,0.52,2.6,0,0,0,,1,0
274,82.239,1.37065,1758022726,5,0.52,2.6,0,0,0,,1,0
275,82.535,1.375583333,1758022726,5,0.52,2.6,0,0,0,,1,0
276,82.836,1.3806,1758022727,5,0.52,2.6,0,0,0,,1,0
277,83.136,1.3856,1758022727,5,0.52,2.6,0,0,0,,1,0
278,83.434,1.390566667,1758022727,5,0.6,3,0,0,0,,1,0
279,83.736,1.3956,1758022728,5,0.52,2.6,0,0,0,,1,0
280,84.036,1.4006,1758022728,5,0.52,2.6,0,0,0,,1,0
281,84.336,1.4056,1758022728,5,0.52,2.6,0,0,0,,1,0
282,84.638,1.410633333,1758022728,5,0.52,2.6,0,0,0,,1,0
283,84.938,1.415633333,1758022729,5,0.52,2.6,0,0,0,,1,0
284,85.239,1.42065,1758022729,5,0.52,2.6,0,0,0,,1,0
285,85.537,1.425616667,1758022729,5,0.59,2.95,0,0,0,,1,0
286,85.836,1.4306,1758022730,5,0.52,2.6,0,0,0,,1,0
287,86.136,1.4356,1758022730,5,0.52,2.6,0,0,0,,1,0
288,86.435,1.440583333,1758022730,5,0.52,2.6,0,0,0,,1,0
289,86.739,1.44565,1758022731,5,0.52,2.6,0,0,0,,1,0
290,87.038,1.450633333,1758022731,5,0.52,2.6,0,0,0,,1,0
291,87.336,1.4556,1758022731,5,0.52,2.6,0,0,0,,1,0
292,87.638,1.460633333,1758022731,5,0.52,2.6,0,0,0,,1,0
293,87.937,1.465616667,1758022732,5,0.52,2.6,0,0,0,,1,0
294,88.236,1.4706,1758022732,5,0.52,2.6,0,0,0,,1,0
295,88.539,1.47565,1758022732,5,0.52,2.6,0,0,0,,1,0
296,88.837,1.480616667,1758022733,5,0.52,2.6,0,0,0,,1,0
297,89.136,1.4856,1758022733,5,0.52,2.6,0,0,0,,1,0
298,89.438,1.490633333,1758022733,5,0.52,2.6,0,0,0,,1,0
299,89.735,1.495583333,1758022734,5,0.52,2.6,0,0,0,,1,0
300,90.038,1.500633333,1758022734,5,0.52,2.6,0,0,0,,1,0
301,90.339,1.50565,1758022734,5,0.52,2.6,0,0,0,,1,0
302,90.637,1.510616667,1758022734,5,0.52,2.6,0,0,0,,1,0
303,90.934,1.515566667,1758022735,5,0.52,2.6,0,0,0,,1,0
304,91.237,1.520616667,1758022735,5,0.52,2.6,0,0,0,,1,0
305,91.537,1.525616667,1758022735,5,0.52,2.6,0,0,0,,1,0
306,91.836,1.5306,1758022736,5,0.52,2.6,0,0,0,,1,0
307,92.137,1.535616667,1758022736,5,0.52,2.6,0,0,0,,1,0
308,92.436,1.5406,1758022736,5,0.52,2.6,0,0,0,,1,0
309,92.739,1.54565,1758022737,5,0.52,2.6,0,0,0,,1,0
310,93.035,1.550583333,1758022737,5,0.52,2.6,0,0,0,,1,0
311,93.337,1.555616667,1758022737,5,0.52,2.6,0,0,0,,1,0
312,93.635,1.560583333,1758022737,5,0.52,2.6,0,0,0,,1,0
313,93.936,1.5656,1758022738,5,0.52,2.6,0,0,0,,1,0
314,94.237,1.570616667,1758022738,5,0.52,2.6,0,0,0,,1,0
315,94.537,1.575616667,1758022738,5,0.52,2.6,0,0,0,,1,"end 00, 80 sec"
316,94.836,1.5806,1758022739,5,0.52,2.6,0,0,0,,-1,"start 00, 20 sec"
317,95.137,1.585616667,1758022739,5,0.52,2.6,0,0,0,,-1,0
318,95.437,1.590616667,1758022739,5,0.52,2.6,0,0,0,,-1,0
319,95.737,1.595616667,1758022740,5,0.52,2.6,0,0,0,,-1,0
320,96.037,1.600616667,1758022740,5,0.52,2.6,0,0,0,,-1,0
321,96.339,1.60565,1758022740,5,0.52,2.6,0,0,0,,-1,0
322,96.635,1.610583333,1758022740,5,0.52,2.6,0,0,0,,-1,0
323,96.937,1.615616667,1758022741,5,0.61,3.05,0,0,0,,-1,0
324,97.238,1.620633333,1758022741,5,0.52,2.6,0,0,0,,-1,0
325,97.535,1.625583333,1758022741,5,0.52,2.6,0,0,0,,-1,0
326,97.836,1.6306,1758022742,5,0.52,2.6,0,0,0,,-1,0
327,98.139,1.63565,1758022742,5,0.52,2.6,0,0,0,,-1,0
328,98.436,1.6406,1758022742,5,0.52,2.6,0,0,0,,-1,0
329,98.734,1.645566667,1758022743,5,0.52,2.6,0,0,0,,-1,0
330,99.036,1.6506,1758022743,5,0.52,2.6,0,0,0,,-1,0
331,99.336,1.6556,1758022743,5,0.52,2.6,0,0,0,,-1,0
332,99.639,1.66065,1758022743,5,0.6,3,0,0,0,,-1,0
333,99.935,1.665583333,1758022744,5,0.6,3,0,0,0,,-1,0
334,100.238,1.670633333,1758022744,5,0.52,2.6,0,0,0,,-1,0
335,100.538,1.675633333,1758022744,5,0.52,2.6,0,0,0,,-1,0
336,100.835,1.680583333,1758022745,5,0.52,2.6,0,0,0,,-1,0
337,101.134,1.685566667,1758022745,5,0.52,2.6,0,0,0,,-1,0
338,101.435,1.690583333,1758022745,5,0.52,2.6,0,0,0,,-1,0
339,101.736,1.6956,1758022746,5,0.52,2.6,0,0,0,,-1,0
340,102.037,1.700616667,1758022746,5,0.52,2.6,0,0,0,,-1,0
341,102.335,1.705583333,1758022746,5,0.52,2.6,0,0,0,,-1,0
342,102.635,1.710583333,1758022746,5,0.53,2.65,0,0,0,,-1,0
343,102.938,1.715633333,1758022747,5,0.52,2.6,0,0,0,,-1,0
344,103.235,1.720583333,1758022747,5,0.52,2.6,0,0,0,,-1,0
345,103.537,1.725616667,1758022747,5,0.52,2.6,0,0,0,,-1,0
346,103.835,1.730583333,1758022748,5,0.52,2.6,0,0,0,,-1,0
347,104.136,1.7356,1758022748,5,0.52,2.6,0,0,0,,-1,0
348,104.438,1.740633333,1758022748,5,0.52,2.6,0,0,0,,-1,0
349,104.735,1.745583333,1758022749,5,0.52,2.6,0,0,0,,-1,0
350,105.037,1.750616667,1758022749,5,0.52,2.6,0,0,0,,-1,0
351,105.339,1.75565,1758022749,5,0.52,2.6,0,0,0,,-1,0
352,105.638,1.760633333,1758022749,5,0.52,2.6,0,0,0,,-1,0
