index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,
236,70.822,1.180366667,1756803421,5,0.6,3,25
237,71.124,1.1854,1756803422,5,0.66,3.3,25
238,71.427,1.19045,1756803422,5,0.69,3.45,25
239,71.727,1.19545,1756803422,5,0.62,3.1,25
240,72.025,1.200416667,1756803422,5,0.61,3.05,25
241,72.323,1.205383333,1756803423,5,0.69,3.45,25
242,72.627,1.21045,1756803423,5,0.69,3.45,25
243,72.927,1.21545,1756803423,5,0.69,3.45,25
244,73.227,1.22045,1756803424,5,0.68,3.4,25
245,73.524,1.2254,1756803424,5,0.64,3.2,25
246,73.823,1.230383333,1756803424,5,0.61,3.05,25
247,74.127,1.23545,1756803425,5,0.68,3.4,25
248,74.425,1.240416667,1756803425,5,0.67,3.35,25
249,74.722,1.245366667,1756803425,5,0.54,2.7,25
250,75.027,1.25045,1756803425,5,0.54,2.7,25
251,75.326,1.255433333,1756803426,5,0.53,2.65,25
252,75.626,1.260433333,1756803426,5,0.63,3.15,25
253,75.927,1.26545,1756803426,5,0.66,3.3,25
254,76.227,1.27045,1756803427,5,0.69,3.45,25
255,76.527,1.27545,1756803427,5,0.6,3,25
256,76.825,1.280416667,1756803427,5,0.64,3.2,25
257,77.122,1.285366667,1756803428,5,0.64,3.2,25
258,77.427,1.29045,1756803428,5,0.66,3.3,25
259,77.727,1.29545,1756803428,5,0.67,3.35,25
260,78.024,1.3004,1756803428,5,0.6,3,25
261,78.327,1.30545,1756803429,5,0.61,3.05,25
262,78.627,1.31045,1756803429,5,0.68,3.4,25
263,78.927,1.31545,1756803429,5,0.68,3.4,25
264,79.227,1.32045,1756803430,5,0.68,3.4,25
265,79.527,1.32545,1756803430,5,0.7,3.5,25
266,79.824,1.3304,1756803430,5,0.61,3.05,25
267,80.124,1.3354,1756803431,5,0.69,3.45,25
268,80.424,1.3404,1756803431,5,0.56,2.8,25
269,80.725,1.345416667,1756803431,5,0.66,3.3,25
270,81.024,1.3504,1756803431,5,0.69,3.45,25
271,81.324,1.3554,1756803432,5,0.69,3.45,25
272,81.627,1.36045,1756803432,5,0.7,3.5,25
273,81.927,1.36545,1756803432,5,0.69,3.45,25
274,82.227,1.37045,1756803433,5,0.61,3.05,25
275,82.525,1.375416667,1756803433,5,0.67,3.35,25
276,82.827,1.38045,1756803433,5,0.67,3.35,25
277,83.127,1.38545,1756803434,5,0.64,3.2,25
278,83.424,1.3904,1756803434,5,0.64,3.2,25
279,83.727,1.39545,1756803434,5,0.67,3.35,25
280,84.027,1.40045,1756803434,5,0.61,3.05,25
281,84.324,1.4054,1756803435,5,0.69,3.45,25
282,84.627,1.41045,1756803435,5,0.66,3.3,25
283,84.927,1.41545,1756803435,5,0.64,3.2,25
284,85.225,1.420416667,1756803436,5,0.61,3.05,25
285,85.527,1.42545,1756803436,5,0.61,2.95,25
286,85.827,1.43045,1756803436,5,0.59,2.95,25
287,86.124,1.4354,1756803437,5,0.61,3.05,25
288,86.427,1.44045,1756803437,5,0.67,3.35,25
289,86.724,1.4454,1756803437,5,0.7,3.5,25
290,87.027,1.45045,1756803437,5,0.69,3.45,25
291,87.323,1.455383333,1756803438,5,0.67,3.35,25
292,87.627,1.46045,1756803438,5,0.61,3.05,25
293,87.927,1.46545,1756803438,5,0.61,3.05,25
294,88.227,1.47045,1756803439,5,0.7,3.5,25
295,88.524,1.4754,1756803439,5,0.69,3.45,25
296,88.823,1.480383333,1756803439,5,0.66,3.3,25
297,89.127,1.48545,1756803440,5,0.64,3.2,25
298,89.424,1.4904,1756803440,5,0.62,3.1,25
299,89.727,1.49545,1756803440,5,0.66,3.3,25
300,90.023,1.500383333,1756803440,5,0.66,3.3,25
301,90.323,1.505383333,1756803441,5,0.67,3.35,25
302,90.627,1.51045,1756803441,5,0.62,3.1,25
303,90.927,1.51545,1756803441,5,0.59,2.95,25
304,91.227,1.52045,1756803442,5,0.62,3.1,25
305,91.525,1.525416667,1756803442,5,0.61,3.05,25
306,91.827,1.53045,1756803442,5,0.65,3.25,25
307,92.122,1.535366667,1756803443,5,0.65,3.25,25
