index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
156,46.814,0.780233333,1758013576,5,0.39,1.95,0,0,0,,
157,47.119,0.785316667,1758013577,5,0.39,1.95,0,0,0,,
158,47.418,0.7903,1758013577,5,0.39,1.95,0,0,0,,
159,47.714,0.795233333,1758013577,5,0.39,1.95,0,0,0,,
160,48.015,0.80025,1758013578,5,0.39,1.95,0,0,0,,
161,48.319,0.805316667,1758013578,5,0.39,1.95,0,0,0,,
162,48.619,0.810316667,1758013578,5,0.39,1.95,0,0,0,,
163,48.914,0.815233333,1758013579,5,0.39,1.95,0,0,0,,
164,49.217,0.820283333,1758013579,5,0.39,1.95,0,0,0,,
165,49.519,0.825316667,1758013579,5,0.39,1.95,0,0,0,,
166,49.819,0.830316667,1758013579,5,0.39,1.95,0,0,0,,
167,50.118,0.8353,1758013580,5,0.39,1.95,0,0,0,,
168,50.415,0.84025,1758013580,5,0.39,1.95,0,0,0,,
169,50.718,0.8453,1758013580,5,0.42,2.1,0,0,0,,
170,51.017,0.850283333,1758013581,5,0.39,1.95,0,0,0,,
171,51.319,0.855316667,1758013581,5,0.39,1.95,0,0,0,,
172,51.616,0.860266667,1758013581,5,0.39,1.95,0,0,0,,
173,51.917,0.865283333,1758013582,5,0.39,1.95,0,0,0,,
174,52.215,0.87025,1758013582,5,0.38,1.9,0,0,0,,
175,52.517,0.875283333,1758013582,5,0.39,1.95,0,0,0,,
176,52.815,0.88025,1758013582,5,0.39,1.95,0,0,0,,
177,53.118,0.8853,1758013583,5,0.39,1.95,0,0,0,,
178,53.419,0.890316667,1758013583,5,0.39,1.95,0,0,0,,
179,53.719,0.895316667,1758013583,5,0.39,1.95,0,0,0,,
180,54.019,0.900316667,1758013584,5,0.38,1.9,0,0,0,,
181,54.317,0.905283333,1758013584,5,0.39,1.95,0,0,0,,
182,54.616,0.910266667,1758013584,5,0.39,1.95,0,0,0,,
183,54.919,0.915316667,1758013585,5,0.38,1.9,0,0,0,,
184,55.215,0.92025,1758013585,5,0.39,1.95,0,0,0,,
185,55.519,0.925316667,1758013585,5,0.39,1.95,0,0,0,,
186,55.818,0.9303,1758013585,5,0.38,1.9,0,0,0,,
187,56.117,0.935283333,1758013586,5,0.39,1.95,0,0,0,,
188,56.417,0.940283333,1758013586,5,0.38,1.9,0,0,0,,
189,56.715,0.94525,1758013586,5,0.38,1.9,0,0,0,,
190,57.016,0.950266667,1758013587,5,0.39,1.95,0,0,0,,
191,57.318,0.9553,1758013587,5,0.39,1.95,0,0,0,,
192,57.616,0.960266667,1758013587,5,0.39,1.95,0,0,0,,
193,57.918,0.9653,1758013588,5,0.39,1.95,0,0,0,,
194,58.219,0.970316667,1758013588,5,0.39,1.95,0,0,0,,
195,58.516,0.975266667,1758013588,5,0.38,1.9,0,0,0,,
196,58.818,0.9803,1758013588,5,0.38,1.9,0,0,0,,
197,59.118,0.9853,1758013589,5,0.38,1.9,0,0,0,,
198,59.415,0.99025,1758013589,5,0.39,1.95,0,0,0,,
199,59.718,0.9953,1758013589,5,0.39,1.95,0,0,0,,
200,60.018,1.0003,1758013590,5,0.39,1.95,0,0,0,,
201,60.315,1.00525,1758013590,5,0.46,2.3,0,0,0,,
202,60.617,1.010283333,1758013590,5,0.4,2,0,0,0,,
203,60.918,1.0153,1758013591,5,0.38,1.9,0,0,0,,
204,61.219,1.020316667,1758013591,5,0.38,1.9,0,0,0,,
205,61.518,1.0253,1758013591,5,0.4,2,0,0,0,,
206,61.819,1.030316667,1758013591,5,0.39,1.95,0,0,0,,
207,62.118,1.0353,1758013592,5,0.39,1.95,0,0,0,,
208,62.417,1.040283333,1758013592,5,0.39,1.95,0,0,0,,
209,62.718,1.0453,1758013592,5,0.39,1.95,0,0,0,,
210,63.015,1.05025,1758013593,5,0.39,1.95,0,0,0,,
211,63.318,1.0553,1758013593,5,0.38,1.9,0,0,0,,
212,63.619,1.060316667,1758013593,5,0.39,1.95,0,0,0,,
213,63.915,1.06525,1758013594,5,0.39,1.95,0,0,0,,
214,64.216,1.070266667,1758013594,5,0.39,1.95,0,0,0,,
215,64.519,1.075316667,1758013594,5,0.39,1.95,0,0,0,,
216,64.815,1.08025,1758013594,5,0.39,1.95,0,0,0,,
217,65.117,1.085283333,1758013595,5,0.38,1.9,0,0,0,,
218,65.418,1.0903,1758013595,5,0.39,1.95,0,0,0,,
219,65.718,1.0953,1758013595,5,0.38,1.9,0,0,0,,
220,66.018,1.1003,1758013596,5,0.38,1.9,0,0,0,,
221,66.318,1.1053,1758013596,5,0.38,1.9,0,0,0,,
222,66.619,1.110316667,1758013596,5,0.39,1.95,0,0,0,,
223,66.917,1.115283333,1758013597,5,0.38,1.9,0,0,0,,
224,67.216,1.120266667,1758013597,5,0.38,1.9,0,0,0,,
225,67.517,1.125283333,1758013597,5,0.39,1.95,0,0,0,,
226,67.815,1.13025,1758013597,5,0.39,1.95,0,0,0,,
227,68.119,1.135316667,1758013598,5,0.39,1.95,0,0,0,,
228,68.414,1.140233333,1758013598,5,0.38,1.9,0,0,0,,
229,68.718,1.1453,1758013598,5,0.39,1.95,0,0,0,,
230,69.018,1.1503,1758013599,5,0.39,1.95,0,0,0,,
231,69.318,1.1553,1758013599,5,0.38,1.9,0,0,0,,
232,69.617,1.160283333,1758013599,5,0.38,1.9,0,0,0,,
233,69.919,1.165316667,1758013600,5,0.38,1.9,0,0,0,,
234,70.216,1.170266667,1758013600,5,0.39,1.95,0,0,0,,
235,70.519,1.175316667,1758013600,5,0.39,1.95,0,0,0,,
236,70.818,1.1803,1758013600,5,0.39,1.95,0,0,0,,
237,71.116,1.185266667,1758013601,5,0.39,1.95,0,0,0,,
238,71.418,1.1903,1758013601,5,0.39,1.95,0,0,0,,
239,71.716,1.195266667,1758013601,5,0.39,1.95,0,0,0,,
240,72.019,1.200316667,1758013602,5,0.39,1.95,0,0,0,,
241,72.316,1.205266667,1758013602,5,0.39,1.95,0,0,0,,
242,72.618,1.2103,1758013602,5,0.39,1.95,0,0,0,,
243,72.918,1.2153,1758013603,5,0.38,1.9,0,0,0,,
244,73.219,1.220316667,1758013603,5,0.39,1.95,0,0,0,,
245,73.516,1.225266667,1758013603,5,0.39,1.95,0,0,0,,
246,73.818,1.2303,1758013603,5,0.39,1.95,0,0,0,,
247,74.118,1.2353,1758013604,5,0.39,1.95,0,0,0,,
248,74.418,1.2403,1758013604,5,0.38,1.9,0,0,0,,
249,74.716,1.245266667,1758013604,5,0.4,2,0,0,0,,
250,75.018,1.2503,1758013605,5,0.39,1.95,0,0,0,,
251,75.317,1.255283333,1758013605,5,0.38,1.9,0,0,0,,
252,75.619,1.260316667,1758013605,5,0.39,1.95,0,0,0,-1,"start 00, 20 sec"
253,75.917,1.265283333,1758013606,5,0.38,1.9,0,0,0,-1,0
254,76.216,1.270266667,1758013606,5,0.39,1.95,0,0,0,-1,0
255,76.519,1.275316667,1758013606,5,0.39,1.95,0,0,0,-1,0
256,76.818,1.2803,1758013606,5,0.44,2.2,0,0,0,-1,0
257,77.118,1.2853,1758013607,5,0.44,2.2,0,0,0,-1,0
258,77.416,1.290266667,1758013607,5,0.39,1.95,0,0,0,-1,0
259,77.719,1.295316667,1758013607,5,0.39,1.95,0,0,0,-1,0
260,78.019,1.300316667,1758013608,5,0.38,1.9,0,0,0,-1,0
261,78.319,1.305316667,1758013608,5,0.4,2,0,0,0,-1,0
262,78.618,1.3103,1758013608,5,0.39,1.95,0,0,0,-1,0
263,78.919,1.315316667,1758013609,5,0.39,1.95,0,0,0,-1,0
264,79.216,1.320266667,1758013609,5,0.39,1.95,0,0,0,-1,0
265,79.518,1.3253,1758013609,5,0.39,1.95,0,0,0,-1,0
266,79.818,1.3303,1758013609,5,0.39,1.95,0,0,0,-1,0
267,80.118,1.3353,1758013610,5,0.38,1.9,0,0,0,-1,0
268,80.415,1.34025,1758013610,5,0.39,1.95,0,0,0,-1,0
269,80.719,1.345316667,1758013610,5,0.39,1.95,0,0,0,-1,0
270,81.017,1.350283333,1758013611,5,0.39,1.95,0,0,0,-1,0
271,81.319,1.355316667,1758013611,5,0.39,1.95,0,0,0,-1,0
272,81.615,1.36025,1758013611,5,0.38,1.9,0,0,0,-1,0
273,81.918,1.3653,1758013612,5,0.38,1.9,0,0,0,-1,0
274,82.218,1.3703,1758013612,5,0.39,1.95,0,0,0,-1,0
275,82.518,1.3753,1758013612,5,0.39,1.95,0,0,0,-1,0
276,82.819,1.380316667,1758013612,5,0.39,1.95,0,0,0,-1,0
277,83.117,1.385283333,1758013613,5,0.39,1.95,0,0,0,-1,0
278,83.415,1.39025,1758013613,5,0.39,1.95,0,0,0,-1,0
279,83.716,1.395266667,1758013613,5,0.39,1.95,0,0,0,-1,0
280,84.019,1.400316667,1758013614,5,0.39,1.95,0,0,0,-1,0
281,84.315,1.40525,1758013614,5,0.39,1.95,0,0,0,-1,0
282,84.619,1.410316667,1758013614,5,0.39,1.95,0,0,0,-1,0
