,time,voltage,current,cpuload
1003,1758017745.222,5,0.68,20.0
1004,1758017745.519,5,0.75,20.0
1005,1758017745.816,5,0.69,20.0
1006,1758017746.114,5,0.74,20.0
1007,1758017746.416,5,0.71,20.0
1008,1758017746.719,5,0.71,20.0
1077,1758017767.422,5,0.66,30.0
1078,1758017767.721,5,0.75,30.0
1079,1758017768.018,5,0.75,30.0
1080,1758017768.325,5,0.75,30.0
1081,1758017768.633,5,0.74,30.0
1082,1758017768.921,5,0.74,30.0
1083,1758017769.217,5,0.74,30.0
1084,1758017769.516,5,0.7,30.0
1085,1758017769.818,5,0.67,30.0
1086,1758017770.116,5,0.69,30.0
1087,1758017770.42,5,0.68,30.0
1088,1758017770.723,5,0.71,30.0
1089,1758017771.018,5,0.71,30.0
1090,1758017771.321,5,0.73,30.0
1091,1758017771.622,5,0.74,30.0
1092,1758017771.919,5,0.75,30.0
1093,1758017772.216,5,0.63,30.0
1094,1758017772.518,5,0.61,30.0
1095,1758017772.818,5,0.74,30.0
1096,1758017773.115,5,0.74,30.0
1097,1758017773.415,5,0.75,30.0
1098,1758017773.717,5,0.7,30.0
1099,1758017774.02,5,0.68,30.0
1100,1758017774.322,5,0.71,30.0
1101,1758017774.618,5,0.73,30.0
1102,1758017774.918,5,0.74,30.0
1103,1758017775.23,5,0.74,30.0
1104,1758017775.518,5,0.74,30.0
1105,1758017775.816,5,0.72,30.0
1106,1758017776.121,5,0.74,30.0
1107,1758017776.42,5,0.67,30.0
1108,1758017776.716,5,0.71,30.0
1109,1758017777.017,5,0.73,30.0
1110,1758017777.317,5,0.71,30.0
1111,1758017777.616,5,0.71,30.0
1112,1758017777.919,5,0.66,30.0
1113,1758017778.216,5,0.61,30.0
1114,1758017778.517,5,0.74,30.0
1115,1758017778.819,5,0.72,30.0
1116,1758017779.116,5,0.74,30.0
1117,1758017779.418,5,0.72,30.0
1118,1758017779.712,5,0.72,30.0
1119,1758017780.02,5,0.72,30.0
1120,1758017780.316,5,0.68,30.0
1121,1758017780.624,5,0.67,30.0
1122,1758017780.915,5,0.75,30.0
1123,1758017781.222,5,0.75,30.0
1124,1758017781.517,5,0.73,30.0
1125,1758017781.827,5,0.74,30.0
1126,1758017782.117,5,0.74,30.0
1127,1758017782.42,5,0.75,30.0
1128,1758017782.72,5,0.75,30.0
1129,1758017783.017,5,0.69,30.0
1130,1758017783.325,5,0.66,30.0
1131,1758017783.619,5,0.68,30.0
1132,1758017783.918,5,0.67,30.0
1133,1758017784.217,5,0.67,30.0
1134,1758017784.518,5,0.67,30.0
1135,1758017784.817,5,0.71,30.0
1136,1758017785.117,5,0.75,30.0
1137,1758017785.417,5,0.75,30.0
1138,1758017785.718,5,0.75,30.0
1139,1758017786.014,5,0.69,30.0
1140,1758017786.333,5,0.69,30.0
1141,1758017786.62,5,0.69,30.0
1142,1758017786.919,5,0.67,30.0
1143,1758017787.221,5,0.67,30.0
1144,1758017787.521,5,0.67,30.0
1145,1758017787.82,5,0.74,30.0
1146,1758017788.124,5,0.71,30.0
1147,1758017788.419,5,0.71,30.0
1148,1758017788.723,5,0.71,30.0
1149,1758017789.021,5,0.75,30.0
1150,1758017789.313,5,0.74,30.0
1151,1758017789.619,5,0.72,30.0
1152,1758017789.921,5,0.74,30.0
1153,1758017790.22,5,0.67,30.0
1154,1758017790.517,5,0.67,30.0
1155,1758017790.815,5,0.67,30.0
1156,1758017791.119,5,0.72,30.0
1157,1758017791.418,5,0.73,30.0
1158,1758017791.718,5,0.74,30.0
1159,1758017792.017,5,0.71,30.0
1160,1758017792.322,5,0.75,30.0
1161,1758017792.619,5,0.75,30.0
1162,1758017792.933,5,0.67,30.0
1163,1758017793.213,5,0.67,30.0
1164,1758017793.52,5,0.67,30.0
1165,1758017793.822,5,0.61,30.0
1166,1758017794.119,5,0.73,30.0
1167,1758017794.421,5,0.72,30.0
1168,1758017794.715,5,0.66,30.0
1169,1758017795.021,5,0.72,30.0
1170,1758017795.318,5,0.72,30.0
1171,1758017795.62,5,0.75,30.0
1172,1758017795.921,5,0.75,30.0
1173,1758017796.224,5,0.75,30.0
1174,1758017796.525,5,0.72,30.0
1175,1758017796.819,5,0.73,30.0
1176,1758017797.118,5,0.73,30.0
1177,1758017797.438,5,0.66,30.0
1178,1758017797.72,5,0.66,30.0
1179,1758017798.018,5,0.67,30.0
1180,1758017798.315,5,0.67,30.0
1181,1758017798.622,5,0.72,30.0
1182,1758017798.921,5,0.66,30.0
1183,1758017799.219,5,0.75,30.0
1184,1758017799.532,5,0.75,30.0
1185,1758017799.822,5,0.75,30.0
1186,1758017800.12,5,0.74,30.0
1187,1758017800.423,5,0.74,30.0
1188,1758017800.739,5,0.74,30.0
1189,1758017801.018,5,0.74,30.0
1190,1758017801.32,5,0.67,30.0
1191,1758017801.628,5,0.67,30.0
1192,1758017801.913,5,0.67,30.0
1193,1758017802.218,5,0.75,30.0
1194,1758017802.521,5,0.75,30.0
1195,1758017802.823,5,0.75,30.0
1196,1758017803.115,5,0.72,30.0
1197,1758017803.425,5,0.74,30.0
1198,1758017803.717,5,0.68,30.0
1199,1758017804.038,5,0.73,30.0
1200,1758017804.321,5,0.73,30.0
1201,1758017804.62,5,0.72,30.0
1202,1758017804.922,5,0.68,30.0
1203,1758017805.226,5,0.7,30.0
1204,1758017805.526,5,0.66,30.0
1205,1758017805.82,5,0.75,30.0
1206,1758017806.125,5,0.75,30.0
1207,1758017806.423,5,0.75,30.0
1208,1758017806.723,5,0.74,30.0
1209,1758017807.021,5,0.75,30.0
1210,1758017807.316,5,0.75,30.0
1211,1758017807.616,5,0.74,30.0
1212,1758017807.924,5,0.7,30.0
1213,1758017808.22,5,0.68,30.0
1214,1758017808.543,5,0.68,30.0
1215,1758017808.819,5,0.68,30.0
1216,1758017809.125,5,0.67,30.0
1217,1758017809.425,5,0.68,30.0
1218,1758017809.719,5,0.72,30.0
1219,1758017810.025,5,0.75,30.0
1220,1758017810.318,5,0.73,30.0
1221,1758017810.636,5,0.75,30.0
1222,1758017810.925,5,0.75,30.0
1223,1758017811.222,5,0.75,30.0
1224,1758017811.524,5,0.66,30.0
1225,1758017811.821,5,0.67,30.0
1226,1758017812.123,5,0.67,30.0
1227,1758017812.426,5,0.7,30.0
1228,1758017812.727,5,0.74,30.0
1229,1758017813.017,5,0.74,30.0
1230,1758017813.321,5,0.73,30.0
1231,1758017813.622,5,0.75,30.0
1232,1758017813.925,5,0.75,30.0
1233,1758017814.221,5,0.64,30.0
1234,1758017814.522,5,0.75,30.0
1235,1758017814.819,5,0.7,30.0
1236,1758017815.143,5,0.73,30.0
1237,1758017815.422,5,0.73,30.0
1238,1758017815.723,5,0.7,30.0
1239,1758017816.02,5,0.68,30.0
1240,1758017816.322,5,0.73,30.0
1241,1758017816.626,5,0.76,30.0
1242,1758017816.926,5,0.75,30.0
1243,1758017817.243,5,0.76,30.0
1244,1758017817.523,5,0.76,30.0
1245,1758017817.82,5,0.75,30.0
1246,1758017818.121,5,0.67,30.0
1247,1758017818.422,5,0.67,30.0
1248,1758017818.721,5,0.67,30.0
1249,1758017819.023,5,0.68,30.0
1250,1758017819.325,5,0.66,30.0
1251,1758017819.623,5,0.66,30.0
1252,1758017819.92,5,0.72,30.0
1253,1758017820.217,5,0.74,30.0
1254,1758017820.523,5,0.73,30.0
1255,1758017820.823,5,0.73,30.0
1256,1758017821.125,5,0.73,30.0
1257,1758017821.421,5,0.75,30.0
1258,1758017821.718,5,0.75,30.0
1259,1758017822.019,5,0.7,30.0
1260,1758017822.319,5,0.67,30.0
1261,1758017822.622,5,0.75,30.0
1262,1758017822.923,5,0.75,30.0
1263,1758017823.219,5,0.75,30.0
1264,1758017823.522,5,0.74,30.0
1265,1758017823.841,5,0.71,30.0
1266,1758017824.127,5,0.71,30.0
1267,1758017824.425,5,0.72,30.0
1268,1758017824.72,5,0.72,30.0
1269,1758017825.02,5,0.78,30.0
1270,1758017825.319,5,0.72,30.0
1271,1758017825.62,5,0.73,30.0
1272,1758017825.925,5,0.69,30.0
1273,1758017826.217,5,0.69,30.0
1274,1758017826.525,5,0.72,30.0
1275,1758017826.82,5,0.75,30.0
1276,1758017827.12,5,0.75,30.0
1277,1758017827.425,5,0.75,30.0
1278,1758017827.718,5,0.74,30.0
1279,1758017828.017,5,0.74,30.0
1280,1758017828.345,5,0.75,30.0
1281,1758017828.625,5,0.75,30.0
1282,1758017828.923,5,0.67,30.0
1283,1758017829.223,5,0.67,30.0
1284,1758017829.522,5,0.69,30.0
1285,1758017829.82,5,0.67,30.0
1286,1758017830.128,5,0.67,30.0
1287,1758017830.426,5,0.67,30.0
1288,1758017830.724,5,0.67,30.0
1289,1758017831.023,5,0.74,30.0
1290,1758017831.322,5,0.73,30.0
1291,1758017831.624,5,0.73,30.0
1292,1758017831.925,5,0.68,30.0
1293,1758017832.221,5,0.69,30.0
1294,1758017832.521,5,0.7,30.0
1295,1758017832.816,5,0.7,30.0
1296,1758017833.12,5,0.67,30.0
1297,1758017833.418,5,0.75,30.0
1298,1758017833.719,5,0.74,30.0
1299,1758017834.024,5,0.75,30.0
1300,1758017834.325,5,0.74,30.0
1301,1758017834.627,5,0.65,30.0
1302,1758017834.917,5,0.65,30.0
1303,1758017835.22,5,0.67,30.0
1304,1758017835.517,5,0.67,30.0
1305,1758017835.824,5,0.75,30.0
1306,1758017836.125,5,0.75,30.0
1307,1758017836.421,5,0.74,30.0
1308,1758017836.719,5,0.75,30.0
1309,1758017837.033,5,0.74,30.0
1310,1758017837.325,5,0.74,30.0
1311,1758017837.627,5,0.75,30.0
1312,1758017837.923,5,0.68,30.0
1313,1758017838.219,5,0.68,30.0
1314,1758017838.52,5,0.71,30.0
