,round,load,period,start_time,id,channelId,exp_duration,end_time,experiment,duration,energy,power_avg,ID
123,22,40,0.0,1765797906670,2511,CH1,80052,1765797986722,stress-ng,80.052,285.9859249999948,3.572501936241378,1131
124,2,50,0.0,1765559366907,180,CH1,80025,1765559446932,stress-ng,80.025,291.8751249999985,3.6472992814745204,1140
125,12,60,0.0,1765680018381,1359,CH1,80036,1765680098417,stress-ng,80.036,303.7185999999931,3.7947748513168214,1150
126,16,30,0.0,1765725147014,1800,CH1,80023,1765725227037,stress-ng,80.023,276.44245000000365,3.4545374454844686,1161
127,29,20,0.0,1765879875293,3312,CH1,80023,1765879955316,stress-ng,80.023,265.3071500000027,3.315386201467112,1178
128,31,40,0.0,1765905663497,3564,CH1,80027,1765905743524,stress-ng,80.027,286.71927499999947,3.58278174865982,1185
129,8,60,0.0,1765632125270,891,CH1,80036,1765632205306,stress-ng,80.036,303.71792500000095,3.794766417612086,1203
130,32,10,0.0,1765913951309,3645,CH1,80023,1765914031332,stress-ng,80.023,254.37432500002555,3.178765167514659,1207
131,22,50,0.0,1765798827766,2520,CH1,80023,1765798907789,stress-ng,80.023,295.4006499999931,3.6914468340351285,1211
132,13,70,0.0,1765692911931,1485,CH1,80032,1765692991963,stress-ng,80.032,313.6035249999995,3.9184766718312614,1219
133,8,80,0.0,1765633967283,909,CH1,80022,1765634047305,stress-ng,80.022,321.92892499999766,4.023005236060055,1221
134,14,0,0.0,1765696596033,1521,CH1,80025,1765696676058,stress-ng,80.025,205.51987499999842,2.56819587628864,1232
135,18,80,0.0,1765753698166,2079,CH1,80039,1765753778205,stress-ng,80.039,320.5756749999892,4.005243381351455,1243
136,26,10,0.0,1765842114259,2943,CH1,80023,1765842194282,stress-ng,80.023,255.04382500002225,3.1871315121905233,1256
137,2,40,0.0,1765558446184,171,CH1,80090,1765558526274,stress-ng,80.09,287.6594499999937,3.5917024597327214,1261
138,25,30,0.0,1765832904190,2853,CH1,80022,1765832984212,stress-ng,80.022,273.93027499999977,3.4231870610582065,1264
139,17,5,0.0,1765733436098,1881,CH1,80022,1765733516120,stress-ng,80.022,233.8552750000031,2.9223872809977647,1268
140,34,60,0.0,1765943424286,3933,CH1,80023,1765943504309,stress-ng,80.023,304.1771749999924,3.8011218649637284,1271
141,16,70,0.0,1765728830916,1836,CH1,80030,1765728910946,stress-ng,80.03,312.6668749999997,3.9068708609271487,1279
142,19,0,0.0,1765756461217,2106,CH1,80026,1765756541243,stress-ng,80.026,204.84487499999938,2.5597290255666834,1291
143,13,80,0.0,1765693832991,1494,CH1,80029,1765693913020,stress-ng,80.029,320.25590000000284,4.001748116307874,1319
144,6,0,0.0,1765600811605,585,CH1,80026,1765600891631,stress-ng,80.026,207.49927499999671,2.5928982455701486,1323
145,7,30,0.0,1765617390080,747,CH1,80025,1765617470105,stress-ng,80.025,274.96645000000274,3.436006872852268,1327
146,33,90,0.0,1765934213663,3843,CH1,80025,1765934293688,stress-ng,80.025,330.19055000000185,4.126092471102804,1329
147,11,0,0.0,1765660676424,1170,CH1,80026,1765660756450,stress-ng,80.026,205.51414999999773,2.56809224502034,1339
148,6,80,0.0,1765610021688,675,CH1,80030,1765610101718,stress-ng,80.03,319.9878000000052,3.9983481194552697,1344
149,12,0,0.0,1765672650759,1287,CH1,80026,1765672730785,stress-ng,80.026,205.2357749999976,2.5646136880513533,1345
150,20,15,0.0,1765771197488,2250,CH1,80039,1765771277527,stress-ng,80.039,256.9823250000205,3.210713839503499,1356
151,27,20,0.0,1765855929522,3078,CH1,80087,1765856009609,stress-ng,80.087,266.63290000000177,3.329290646422038,1373
152,19,90,0.0,1765766592835,2205,CH1,80030,1765766672865,stress-ng,80.03,329.09812499999884,4.1121844933149925,1389
153,33,40,0.0,1765929608426,3798,CH1,80065,1765929688491,stress-ng,80.065,283.97884999999553,3.54685380628234,1390
154,17,15,0.0,1765735279093,1899,CH1,80025,1765735359118,stress-ng,80.025,258.57932500001937,3.2312318025619415,1399
155,23,90,0.0,1765814485129,2673,CH1,80025,1765814565154,stress-ng,80.025,331.59199999999544,4.143605123398881,1404
156,14,70,0.0,1765704885465,1602,CH1,80037,1765704965502,stress-ng,80.037,311.91255000000314,3.8971044641853534,1414
157,4,10,0.0,1765578707680,369,CH1,80022,1765578787702,stress-ng,80.022,256.6598750000039,3.2073664117368215,1434
158,10,10,0.0,1765650545733,1071,CH1,80025,1765650625758,stress-ng,80.025,248.4793250000197,3.105021243361696,1435
159,23,50,0.0,1765810801989,2637,CH1,80024,1765810882013,stress-ng,80.024,298.6593250000048,3.732121925922283,1458
160,8,100,0.0,1765635809330,927,CH1,80028,1765635889358,stress-ng,80.028,338.9628250000097,4.235552868995972,1460
161,28,50,0.0,1765870665890,3222,CH1,80036,1765870745926,stress-ng,80.036,293.3768249999958,3.665560810135386,1465
162,1,0,0.0,1765540947109,0,CH1,80050,1765541027159,stress-ng,80.05,196.5206250000123,2.4549734540913466,1478
163,30,40,0.0,1765893690952,3447,CH1,80022,1765893770974,stress-ng,80.022,287.25555000000156,3.589707205518502,1483
164,11,40,0.0,1765666204834,1224,CH1,80022,1765666284856,stress-ng,80.022,284.86759999999776,3.559866036839841,1494
165,5,15,0.0,1765591601794,495,CH1,80022,1765591681816,stress-ng,80.022,264.0492250000058,3.2997078928295442,1528
166,3,60,0.0,1765572261151,306,CH1,80022,1765572341173,stress-ng,80.022,306.20797499999327,3.8265473869684996,1554
167,29,60,0.0,1765883558903,3348,CH1,80040,1765883638943,stress-ng,80.04,305.46147499999904,3.8163602573713025,1555
168,28,80,0.0,1765873428468,3249,CH1,80025,1765873508493,stress-ng,80.025,322.2751749999996,4.027181193377064,1556
169,29,0,0.0,1765876191023,3276,CH1,80026,1765876271049,stress-ng,80.026,205.63204999999397,2.5695655162071573,1572
170,24,100,0.0,1765827377997,2799,CH1,80023,1765827458020,stress-ng,80.023,339.19042500001405,4.238661697262212,1609
171,10,80,0.0,1765657913398,1143,CH1,80022,1765657993420,stress-ng,80.022,321.49189999999874,4.017543925420494,1611
172,11,100,0.0,1765671729749,1278,CH1,80024,1765671809773,stress-ng,80.024,338.5032000000047,4.230020993701949,1618
173,35,50,0.0,1765954477141,4041,CH1,80064,1765954557205,stress-ng,80.064,293.7439749999937,3.6688645958232633,1619
174,25,60,0.0,1765835666577,2880,CH1,80022,1765835746599,stress-ng,80.022,304.0155499999911,3.799149608857453,1623
175,30,80,0.0,1765897374202,3483,CH1,80036,1765897454238,stress-ng,80.036,323.9607249999984,4.047687603078595,1625
176,9,15,0.0,1765639494354,963,CH1,80022,1765639574376,stress-ng,80.022,259.2130750000024,3.2392726375247105,1640
177,7,40,0.0,1765618311252,756,CH1,80022,1765618391274,stress-ng,80.022,283.4765499999997,3.542482692259625,1651
178,13,90,0.0,1765694754009,1503,CH1,80028,1765694834037,stress-ng,80.028,329.2195249999978,4.113804231019116,1663
179,18,30,0.0,1765749093515,2034,CH1,80023,1765749173538,stress-ng,80.023,276.33702500000294,3.4532200117466596,1669
180,17,50,0.0,1765738963300,1935,CH1,80022,1765739043322,stress-ng,80.022,295.08694999999415,3.687572792481994,1683
181,16,5,0.0,1765721463272,1764,CH1,80025,1765721543297,stress-ng,80.025,236.78935000000644,2.9589422055608425,1688
182,23,20,0.0,1765808038575,2610,CH1,80022,1765808118597,stress-ng,80.022,266.72575000000023,3.3331552573042442,1689
183,10,40,0.0,1765654229704,1107,CH1,80022,1765654309726,stress-ng,80.022,283.1813499999926,3.5387937067305573,1725
184,17,40,0.0,1765738042144,1926,CH1,80022,1765738122166,stress-ng,80.022,285.18562499999706,3.5638402564294447,1741
185,32,30,0.0,1765916713882,3672,CH1,80061,1765916793943,stress-ng,80.061,276.1058499999993,3.4486934962091316,1748
186,30,70,0.0,1765896453101,3474,CH1,80036,1765896533137,stress-ng,80.036,316.9357999999938,3.9599155380078184,1752
187,31,10,0.0,1765901978760,3528,CH1,80022,1765902058782,stress-ng,80.022,255.2590250000038,3.189860600834818,1755
188,14,60,0.0,1765703964433,1593,CH1,80022,1765704044455,stress-ng,80.022,304.9920750000002,3.8113528154757472,1767
189,4,15,0.0,1765579628671,378,CH1,80021,1765579708692,stress-ng,80.021,261.0356000000075,3.2620887017158933,1769
190,33,50,0.0,1765930529452,3807,CH1,80023,1765930609475,stress-ng,80.023,291.98292499998996,3.6487375504541193,1778
191,1,80,0.0,1765550157207,90,CH1,80022,1765550237229,stress-ng,80.022,324.87372499999697,4.059805116093036,1786
192,30,30,0.0,1765892769683,3438,CH1,80160,1765892849843,stress-ng,80.16,277.3156249999969,3.4595262599800005,1797
193,7,0,0.0,1765612784317,702,CH1,80025,1765612864342,stress-ng,80.025,204.91399999999732,2.5606248047484828,1798
194,20,90,0.0,1765778564303,2322,CH1,80027,1765778644330,stress-ng,80.027,330.1174250000022,4.125075599485201,1808
195,7,90,0.0,1765622915405,801,CH1,80025,1765622995430,stress-ng,80.025,329.6667500000018,4.119547016557348,1824
196,27,50,0.0,1765858693229,3105,CH1,80023,1765858773252,stress-ng,80.023,293.9257749999934,3.673016195343756,1838
197,33,80,0.0,1765933292631,3834,CH1,80027,1765933372658,stress-ng,80.027,321.8257500000027,4.021464630687176,1848
198,13,60,0.0,1765691991366,1476,CH1,80023,1765692071389,stress-ng,80.023,304.17944999999696,3.8011502942903537,1852
199,4,20,0.0,1765580549661,387,CH1,80022,1765580629683,stress-ng,80.022,268.2782500000058,3.352556172052758,1853
200,7,5,0.0,1765613705331,711,CH1,80025,1765613785356,stress-ng,80.025,236.58982500000485,2.9564489222118695,1858
201,19,20,0.0,1765760145619,2142,CH1,80021,1765760225640,stress-ng,80.021,265.74390000000585,3.3209270066608245,1868
202,1,20,0.0,1765544631446,36,CH1,80025,1765544711471,stress-ng,80.025,266.28572500000024,3.3275317088409904,1872
203,3,30,0.0,1765569498121,279,CH1,80022,1765569578143,stress-ng,80.022,274.79187499999324,3.433954100122382,1878
204,19,15,0.0,1765759224630,2133,CH1,80022,1765759304652,stress-ng,80.022,259.5922750000234,3.244011334383337,1922
205,25,20,0.0,1765831983047,2844,CH1,80022,1765832063069,stress-ng,80.022,264.5111000000028,3.3054797430706904,1944
206,13,100,0.0,1765695675029,1512,CH1,80026,1765695755055,stress-ng,80.026,338.1172250000071,4.225092157548886,1947
207,23,10,0.0,1765806196112,2592,CH1,80022,1765806276134,stress-ng,80.022,249.5753750000245,3.1188345080106035,1960
208,23,0,0.0,1765804353858,2574,CH1,80027,1765804433885,stress-ng,80.027,205.9484499999959,2.573487073112773,1974
209,1,5,0.0,1765541868155,9,CH1,80136,1765541948291,stress-ng,80.136,245.04605000002704,3.0578772337030427,1976
210,32,70,0.0,1765920397818,3708,CH1,80037,1765920477855,stress-ng,80.037,312.230750000001,3.9010801254419962,1981
211,9,90,0.0,1765646861711,1035,CH1,80022,1765646941733,stress-ng,80.022,330.3895250000049,4.1287336607433565,1982
212,3,90,0.0,1765575023669,333,CH1,80024,1765575103693,stress-ng,80.024,332.68645000000305,4.157333424972546,1991
213,6,15,0.0,1765603575891,612,CH1,80022,1765603655913,stress-ng,80.022,263.66772500000826,3.294940453875287,2002
214,10,20,0.0,1765652387549,1089,CH1,80051,1765652467600,stress-ng,80.051,268.0683750000066,3.348719878577489,2007
215,23,70,0.0,1765812643111,2655,CH1,80022,1765812723133,stress-ng,80.022,316.4761249999986,3.9548639749068832,2036
216,26,15,0.0,1765843035645,2952,CH1,80022,1765843115667,stress-ng,80.022,259.4976500000228,3.2428288470673414,2044
217,14,10,0.0,1765698438244,1539,CH1,80024,1765698518268,stress-ng,80.024,254.62770000002618,3.1818916824955785,2051
218,4,60,0.0,1765584233843,423,CH1,80022,1765584313865,stress-ng,80.022,306.63459999999327,3.8318787333482454,2072
219,20,30,0.0,1765773039741,2268,CH1,80109,1765773119850,stress-ng,80.109,272.99935000000085,3.407848681171914,2085
220,18,0,0.0,1765744488420,1989,CH1,80026,1765744568446,stress-ng,80.026,205.5010499999956,2.5679285482217726,2088
221,15,40,0.0,1765714095523,1692,CH1,80047,1765714175570,stress-ng,80.047,284.73922499999816,3.557150486589106,2108
222,26,50,0.0,1765846720218,2988,CH1,80022,1765846800240,stress-ng,80.022,290.0519249999929,3.6246522831220527,2109
223,6,5,0.0,1765601732619,594,CH1,80022,1765601812641,stress-ng,80.022,246.65977500002896,3.0823995276302636,2113
224,7,15,0.0,1765615547763,729,CH1,80022,1765615627785,stress-ng,80.022,258.0936000000203,3.2252830471622835,2116
225,18,10,0.0,1765746330431,2007,CH1,80023,1765746410454,stress-ng,80.023,252.00570000002227,3.1491658648141443,2124
226,8,70,0.0,1765633046282,900,CH1,80022,1765633126304,stress-ng,80.022,313.1135750000025,3.9128436554947705,2142
