,period,load,exp_duration,experiment,duration,energy,power_avg,ID
575,0.04,0,80025,stress-ng,80.02,192.43109999999058,2.4047875531116043,148
576,0.04,0,80026,stress-ng,80.02,192.04337499999386,2.399942201949436,183
577,0.04,20,80022,stress-ng,80.015,262.82492500000296,3.2846956820596507,275
578,0.04,40,80022,stress-ng,80.014,280.67077500000124,3.5077708276051847,287
579,0.04,40,80059,stress-ng,80.053,281.08342499999725,3.5112166314816093,294
580,0.04,60,80026,stress-ng,80.024,298.99052499999186,3.73626068429461,300
581,0.04,20,80023,stress-ng,80.02,263.38180000000034,3.2914496375906066,314
582,0.04,20,80024,stress-ng,80.015,262.22722500000276,3.2772258326564114,348
583,0.04,80,80026,stress-ng,80.023,314.56352499999866,3.9309139247466187,351
584,0.04,100,80023,stress-ng,80.013,330.3793500000165,4.129070900978797,394
585,0.04,60,80028,stress-ng,80.021,299.09419999999216,3.737696354706791,395
586,0.04,20,80022,stress-ng,80.015,263.8293499999982,3.2972486408798125,405
587,0.04,60,80035,stress-ng,80.03,299.43824999999117,3.741575034362004,414
588,0.04,60,80030,stress-ng,80.027,299.7758499999931,3.7459338723180067,437
589,0.04,100,80023,stress-ng,79.993,330.4576500000137,4.131082094683456,442
590,0.04,100,80024,stress-ng,80.018,330.29987500000834,4.127819678072538,451
591,0.04,100,80023,stress-ng,80.017,330.17382500000446,4.126295974605452,461
592,0.04,80,80035,stress-ng,80.028,314.3915250000026,3.928519080821745,468
593,0.04,0,80025,stress-ng,80.023,189.42875000000112,2.3671788110918253,477
594,0.04,60,80039,stress-ng,80.033,298.9480499999905,3.735309809703378,479
595,0.04,40,80023,stress-ng,80.018,280.362899999995,3.5037479067209256,482
596,0.04,100,80029,stress-ng,80.009,330.60467500001073,4.132093576972725,498
597,0.04,100,80022,stress-ng,80.015,330.46212500001445,4.130002187090101,542
598,0.04,40,80022,stress-ng,80.016,280.1066499999913,3.500632998400211,551
599,0.04,0,80026,stress-ng,80.02,189.87337500000248,2.372823981504655,554
600,0.04,40,80022,stress-ng,80.019,280.3546499999952,3.5036010197577476,562
601,0.04,20,80023,stress-ng,80.02,263.5927250000009,3.2940855411147325,578
602,0.04,20,80022,stress-ng,80.01,262.75885000000756,3.284075115610643,601
603,0.04,40,80023,stress-ng,80.019,281.0608999999963,3.512427048575917,617
604,0.04,0,80025,stress-ng,80.018,189.2261250000053,2.3647944837412247,620
605,0.04,80,80027,stress-ng,80.001,314.6924249999972,3.933606142423184,712
606,0.04,60,80043,stress-ng,80.039,298.6516499999902,3.731326603280778,713
607,0.04,60,80033,stress-ng,80.028,299.6062499999899,3.7437678062676802,716
608,0.04,0,80027,stress-ng,80.024,190.04950000000105,2.374906278116578,718
609,0.04,80,80034,stress-ng,80.031,314.64345000000185,3.9315196611313343,730
610,0.04,0,80026,stress-ng,80.024,192.45062499999224,2.4049113390981733,737
611,0.04,0,80026,stress-ng,80.018,192.27907499999387,2.402947774250717,744
612,0.04,80,80036,stress-ng,80.03,315.29497499999303,3.9397097963262904,760
613,0.04,60,80022,stress-ng,80.02,298.534124999994,3.7307438765307923,770
614,0.04,80,80031,stress-ng,80.027,313.18027499999965,3.9134326539792776,803
615,0.04,80,80029,stress-ng,80.02,313.3345999999993,3.9157035741064647,810
616,0.04,80,80023,stress-ng,80.014,314.2456749999973,3.9273836453620277,841
617,0.04,0,80027,stress-ng,80.019,192.36044999999055,2.4039346905108854,844
618,0.04,100,80025,stress-ng,80.018,330.258925000011,4.127307918218539,845
619,0.04,40,80023,stress-ng,80.017,279.83647499999404,3.4972127797842214,865
620,0.04,40,80089,stress-ng,80.083,280.964049999994,3.508410648951638,877
621,0.04,20,80023,stress-ng,80.02,263.1866000000041,3.289010247438192,896
622,0.04,20,80022,stress-ng,80.014,263.0081749999947,3.287026957782322,926
623,0.04,80,80037,stress-ng,80.031,314.19302499999844,3.9258915295322865,960
624,0.04,60,80057,stress-ng,80.037,297.04564999999747,3.7113541237177485,966
