,period,exp_duration,experiment,duration,energy,power_avg,ID
131,0.03,80023,stress-ng,80.018,299.37869999999333,3.7413919368141335,403
132,0.03,80026,stress-ng,80.023,192.76037499999265,2.4088121540056315,491
133,0.03,80022,stress-ng,79.995,264.5014500000017,3.3064747796737506,588
134,0.03,80025,stress-ng,80.014,331.146175000005,4.138602931986965,36
135,0.03,80024,stress-ng,80.016,264.7362250000061,3.30854110427922,306
136,0.03,80022,stress-ng,80.019,330.81575000000953,4.134214998937871,188
137,0.03,80098,stress-ng,80.09,281.3193249999964,3.512539955050523,47
138,0.03,80031,stress-ng,80.008,315.83699999999953,3.947567743225672,49
139,0.03,80074,stress-ng,80.073,280.8294499999976,3.507167834351125,184
140,0.03,80036,stress-ng,80.033,281.2997249999975,3.514796708857565,489
141,0.03,80022,stress-ng,80.018,299.9559249999866,3.74860562623393,443
142,0.03,80026,stress-ng,80.022,192.348599999993,2.403696483466959,523
143,0.03,80023,stress-ng,80.017,315.467124999995,3.94250128097773,179
144,0.03,80034,stress-ng,80.028,315.69487499999906,3.9448052556605067,214
145,0.03,80022,stress-ng,80.016,315.7550999999966,3.9461495200959384,394
146,0.03,80027,stress-ng,80.017,315.459174999999,3.942401927090481,172
147,0.03,80115,stress-ng,80.111,262.7161000000032,3.2794010810001524,486
148,0.03,80025,stress-ng,80.021,192.58477499999202,2.406677934542083,451
149,0.03,80023,stress-ng,80.02,299.91257499999534,3.747970194951204,41
150,0.03,80153,stress-ng,80.146,263.9024250000008,3.292771005415127,509
151,0.03,80023,stress-ng,80.017,281.42904999999456,3.5171157379056273,462
152,0.03,80025,stress-ng,80.02,192.55992499998925,2.4063974631340823,83
153,0.03,80022,stress-ng,79.997,280.5485500000015,3.506988387064534,435
154,0.03,80026,stress-ng,80.022,331.05430000001246,4.137041063707636,8
155,0.03,80026,stress-ng,80.024,192.65424999999252,2.4074558882334363,559
156,0.03,80021,stress-ng,80.015,282.3591999999963,3.528828344685325,369
157,0.03,80219,stress-ng,80.213,264.65392500000576,3.2993894381210747,573
