,period,load,experiment,power_mean,power_std,energy_mean,energy_std,duration_mean,duration_std,loggings_mean,loggings_std,runs
65,0.2,0,stress-ng,2.4711789975699903,0.019131053113109975,197.7572971428652,1.5306458781554522,80.02548571428571,0.0007424691941037281,400.0,0.0,35
66,0.2,5,stress-ng,3.096772205567423,0.05062872360514397,247.88036500002153,4.009403938123579,80.04502857142857,0.09777600021726555,400.0857142857143,0.3734913631120924,35
67,0.2,10,stress-ng,3.242674179986479,0.023887394537723223,259.4919092857287,1.906899841863752,80.02405714285715,0.008138300361441522,400.0,0.0,35
68,0.2,15,stress-ng,3.310155016730564,0.020804648953898577,264.9674435714362,1.745439377223385,80.04671428571429,0.0652423407398143,400.0571428571429,0.23550410797679264,35
69,0.2,20,stress-ng,3.3608584221571722,0.01736288708327519,269.06660214286126,1.4493215432675945,80.05882857142858,0.06633492812293923,400.0571428571429,0.2355041079768032,35
70,0.2,30,stress-ng,3.4829186334181146,0.017414208858968272,278.7828942857122,1.3864115787520774,80.04291428571429,0.03654921857100654,400.0,0.0,35
71,0.2,40,stress-ng,3.5914221836724365,0.017601898920099647,287.49375857142303,1.4143284511838985,80.05011428571429,0.032591745101164034,400.0,0.0,35
72,0.2,50,stress-ng,3.696821983444087,0.026086629728214922,295.86689214285246,2.071042825468743,80.03280000000001,0.017661523483683987,400.0,0.0,35
73,0.2,60,stress-ng,3.8288733752505957,0.016423634432219517,306.4401678571399,1.3167674584320175,80.03402857142858,0.010945011526303491,400.0,0.0,35
74,0.2,70,stress-ng,3.9330406983921478,0.02072407411834332,314.76968500000015,1.660898912842153,80.03214285714286,0.009315208491691535,400.0,0.0,35
75,0.2,80,stress-ng,4.038015254771219,0.018883538184494526,323.1569349999992,1.510628917178075,80.02865714285714,0.005487648468542603,400.0,0.0,35
76,0.2,90,stress-ng,4.147340007631661,0.01882639439699899,331.9026135714313,1.506362258282328,80.02782857142857,0.0035602851363511416,400.0,0.0,35
77,0.2,100,stress-ng,4.258445208660856,0.02601972581311522,340.77951000001434,2.080092611888303,80.02440000000001,0.0023414424915327607,400.0,0.0,35
78,0.5,0,stress-ng,2.476105625243763,0.01916742264500936,198.1520535714359,1.5342902827188065,80.02568571428571,0.0006311254453172713,160.0,0.0,35
79,0.5,5,stress-ng,3.055834402955329,0.056380992044505064,244.58729285716416,4.52464482502697,80.03942857142857,0.09738561486787291,160.02857142857144,0.16903085094570225,35
80,0.5,10,stress-ng,3.2134836504380564,0.025172829519949515,257.2127121428747,2.0657366003204247,80.04165714285715,0.11056112040196585,160.02857142857144,0.16903085094570225,35
81,0.5,15,stress-ng,3.2677259613456107,0.03301550966731829,261.5900285714396,2.6305068577546136,80.05268571428572,0.06831749901942304,160.0,0.0,35
82,0.5,20,stress-ng,3.342966811505626,0.021857532643887713,267.67052142857705,1.668342256783849,80.06994285714286,0.08136661508518093,160.0,0.0,35
83,0.5,30,stress-ng,3.4631808564931164,0.01846943305768927,277.2208521428556,1.4956153390859732,80.04802857142857,0.04308711129402586,160.0,0.0,35
84,0.5,40,stress-ng,3.576973290896959,0.014320518906028675,286.28319785713796,1.1582326941514516,80.03502857142857,0.020148690972346207,160.0,0.0,35
85,0.5,50,stress-ng,3.681921635876519,0.023632853537586245,294.726803571423,1.9139774185808303,80.04697142857144,0.02216579998727135,160.0,0.0,35
86,0.5,60,stress-ng,3.8242860914201953,0.018569255012331472,306.06115785714024,1.49640893288114,80.03091428571429,0.011428476890365849,160.0,0.0,35
87,0.5,70,stress-ng,3.9270879262145724,0.018002767318518693,314.28168000000056,1.4355053591443365,80.0292,0.008560511254660595,160.0,0.0,35
88,0.5,80,stress-ng,4.032939870442325,0.01996879094140235,322.7468321428566,1.5956397545992806,80.02768571428571,0.006052570812916731,160.0,0.0,35
